timestamp,frame,model,class,confidence
2025-04-29 00:03:36,834,Trash,2,0.882
2025-04-29 00:03:36,834,Trash,8,0.657
2025-04-29 00:03:36,835,FishInv,11,0.915
2025-04-29 00:03:37,837,MegaFauna,2,0.911
2025-04-29 00:03:37,837,MegaFauna,2,0.534
2025-04-29 00:03:37,839,Trash,0,0.508
2025-04-29 00:03:37,841,FishInv,11,0.904
2025-04-29 00:03:37,843,MegaFauna,2,0.92
2025-04-29 00:03:37,843,Trash,2,0.868
2025-04-29 00:03:37,846,FishInv,11,0.917
2025-04-29 00:03:37,847,MegaFauna,2,0.915
2025-04-29 00:03:38,849,Trash,2,0.885
2025-04-29 00:03:38,851,FishInv,11,0.874
2025-04-29 00:03:38,855,MegaFauna,2,0.875
2025-04-29 00:03:38,856,Trash,2,0.868
2025-04-29 00:03:38,856,Trash,8,0.602
2025-04-29 00:03:39,859,FishInv,11,0.907
2025-04-29 00:03:39,862,MegaFauna,2,0.883
2025-04-29 00:03:39,863,Trash,2,0.903
2025-04-29 00:03:39,865,FishInv,11,0.897
2025-04-29 00:03:39,867,MegaFauna,2,0.874
2025-04-29 00:03:40,869,Trash,2,0.9
2025-04-29 00:03:40,869,Trash,8,0.574
2025-04-29 00:03:40,872,FishInv,11,0.875
2025-04-29 00:03:40,873,MegaFauna,2,0.886
2025-04-29 00:03:40,873,MegaFauna,2,0.504
2025-04-29 00:03:40,873,Trash,2,0.767
2025-04-29 00:03:40,875,FishInv,11,0.873
2025-04-29 00:03:40,877,MegaFauna,2,0.872
2025-04-29 00:03:41,878,Trash,2,0.885
2025-04-29 00:03:41,880,FishInv,11,0.883
2025-04-29 00:03:41,882,MegaFauna,2,0.883
2025-04-29 00:03:41,884,Trash,2,0.889
2025-04-29 00:03:41,886,FishInv,11,0.89
2025-04-29 00:03:42,888,MegaFauna,2,0.865
2025-04-29 00:03:42,889,Trash,2,0.903
2025-04-29 00:03:42,889,Trash,8,0.511
2025-04-29 00:03:42,891,FishInv,11,0.842
2025-04-29 00:03:42,893,MegaFauna,2,0.882
2025-04-29 00:03:42,895,Trash,2,0.909
2025-04-29 00:03:43,897,FishInv,11,0.874
2025-04-29 00:03:43,899,MegaFauna,2,0.889
2025-04-29 00:03:43,900,Trash,2,0.883
2025-04-29 00:03:43,902,FishInv,11,0.899
2025-04-29 00:03:43,904,MegaFauna,2,0.899
2025-04-29 00:03:43,905,Trash,2,0.884
2025-04-29 00:03:44,907,FishInv,11,0.873
2025-04-29 00:03:44,910,MegaFauna,2,0.891
2025-04-29 00:03:44,910,Trash,2,0.897
2025-04-29 00:03:44,912,FishInv,11,0.87
2025-04-29 00:03:44,914,MegaFauna,2,0.909
2025-04-29 00:03:44,916,Trash,2,0.907
2025-04-29 00:03:44,917,FishInv,11,0.841
2025-04-29 00:03:45,919,MegaFauna,2,0.899
2025-04-29 00:03:45,920,Trash,2,0.871
2025-04-29 00:03:45,922,FishInv,11,0.863
2025-04-29 00:03:45,925,MegaFauna,2,0.91
2025-04-29 00:03:45,926,Trash,2,0.709
2025-04-29 00:03:45,927,FishInv,11,0.896
2025-04-29 00:03:46,929,MegaFauna,2,0.893
2025-04-29 00:03:46,930,Trash,2,0.746
2025-04-29 00:03:46,932,FishInv,11,0.879
2025-04-29 00:03:46,933,MegaFauna,2,0.899
2025-04-29 00:03:46,935,Trash,2,0.792
2025-04-29 00:03:46,936,FishInv,11,0.866
2025-04-29 00:03:47,938,MegaFauna,2,0.916
2025-04-29 00:03:47,940,Trash,2,0.748
2025-04-29 00:03:47,942,FishInv,11,0.882
2025-04-29 00:03:47,944,MegaFauna,2,0.906
2025-04-29 00:03:47,946,Trash,2,0.83
2025-04-29 00:03:48,947,FishInv,11,0.883
2025-04-29 00:03:48,950,MegaFauna,2,0.902
2025-04-29 00:03:48,951,Trash,2,0.834
2025-04-29 00:03:48,953,FishInv,11,0.883
2025-04-29 00:03:48,954,MegaFauna,2,0.918
2025-04-29 00:03:48,955,Trash,2,0.658
2025-04-29 00:03:48,956,FishInv,11,0.902
2025-04-29 00:03:49,959,MegaFauna,2,0.93
2025-04-29 00:03:49,960,Trash,2,0.742
2025-04-29 00:03:49,960,Trash,2,0.547
2025-04-29 00:03:49,963,FishInv,11,0.902
2025-04-29 00:03:49,964,MegaFauna,2,0.898
2025-04-29 00:03:49,966,Trash,2,0.839
2025-04-29 00:03:50,969,MegaFauna,2,0.862
2025-04-29 00:03:50,971,Trash,2,0.804
2025-04-29 00:03:50,972,FishInv,11,0.74
2025-04-29 00:03:50,975,MegaFauna,2,0.918
2025-04-29 00:03:50,975,Trash,2,0.582
2025-04-29 00:03:50,977,FishInv,11,0.842
2025-04-29 00:03:50,978,MegaFauna,2,0.898
2025-04-29 00:03:51,980,Trash,2,0.557
2025-04-29 00:03:51,981,FishInv,11,0.862
2025-04-29 00:03:51,983,MegaFauna,2,0.909
2025-04-29 00:03:51,985,Trash,2,0.702
2025-04-29 00:03:51,987,FishInv,11,0.532
2025-04-29 00:03:52,989,MegaFauna,2,0.921
2025-04-29 00:03:52,991,Trash,2,0.623
2025-04-29 00:03:52,996,MegaFauna,2,0.842
2025-04-29 00:03:52,997,Trash,9,0.663
2025-04-29 00:03:52,997,Trash,2,0.597
2025-04-29 00:03:53,1002,MegaFauna,2,0.85
2025-04-29 00:03:53,1006,MegaFauna,2,0.875
2025-04-29 00:03:54,1011,MegaFauna,2,0.867
2025-04-29 00:03:54,1015,MegaFauna,2,0.64
2025-04-29 00:03:55,1020,MegaFauna,2,0.905
2025-04-29 00:03:55,1021,Trash,2,0.709
2025-04-29 00:03:55,1024,MegaFauna,2,0.862
2025-04-29 00:03:55,1026,Trash,9,0.519
2025-04-29 00:03:55,1027,FishInv,11,0.887
2025-04-29 00:03:56,1029,MegaFauna,2,0.905
2025-04-29 00:03:56,1030,Trash,2,0.852
2025-04-29 00:03:56,1032,FishInv,11,0.886
2025-04-29 00:03:56,1035,MegaFauna,2,0.917
2025-04-29 00:03:56,1036,Trash,2,0.803
2025-04-29 00:03:56,1036,Trash,8,0.572
2025-04-29 00:03:57,1038,FishInv,11,0.826
2025-04-29 00:03:57,1040,MegaFauna,2,0.939
2025-04-29 00:03:57,1041,Trash,2,0.883
2025-04-29 00:03:57,1041,Trash,8,0.68
2025-04-29 00:03:57,1041,Trash,2,0.553
2025-04-29 00:03:57,1042,FishInv,11,0.883
2025-04-29 00:03:57,1044,MegaFauna,2,0.916
2025-04-29 00:03:58,1045,Trash,2,0.872
